class,precision,recall,f1-score,support
actinic_keratosis,0.8947368421052632,0.5666666666666667,0.6938775510204082,30.0
basal_cell_carcinoma,0.5789473684210527,0.7333333333333333,0.6470588235294118,30.0
benign_keratosis,0.5434782608695652,0.8333333333333334,0.6578947368421053,30.0
dermatofibroma,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
melanoma,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0
nevus,0.6857142857142857,0.8,0.7384615384615385,30.0
seborrheic_keratosis,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
squamous_cell_carcinoma,0.8947368421052632,0.5666666666666667,0.6938775510204082,30.0
vascular_lesion,1.0,0.8333333333333334,0.9090909090909091,30.0
