,map,ndcg@k,diversity,category_purity,n_queries
dense,0.030175787704984795,0.7406935386271513,1.0,0.6666666666666666,18.0
hybrid,0.03456250944296794,0.8169189601287472,1.0,0.6222222222222222,18.0
hybrid+rerank,0.02738368749546753,0.7598654561234608,1.0,0.7111111111111112,18.0
