class,precision,recall,f1-score,support
actinic_keratosis,1.0,0.5666666666666667,0.723404255319149,30.0
basal_cell_carcinoma,0.6410256410256411,0.8333333333333334,0.7246376811594203,30.0
benign_keratosis,0.5609756097560976,0.7666666666666667,0.647887323943662,30.0
dermatofibroma,0.9310344827586207,0.9,0.9152542372881356,30.0
melanoma,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
nevus,0.6923076923076923,0.9,0.782608695652174,30.0
seborrheic_keratosis,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
squamous_cell_carcinoma,0.8947368421052632,0.5666666666666667,0.6938775510204082,30.0
vascular_lesion,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
